Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20160917:0900,13.1,10.6,71.0,8.0
3925,20160917:0900,12.8,12.6,98.0,12.5
15752,20160918:0900,8.6,8.3,96.0,8.0
3925,20160918:0900,12.8,11.4,84.0,10.2
15752,20160919:0900,8.9,8.0,88.0,7.0
3925,20160919:0900,11.2,9.3,77.0,7.3
15752,20160920:0900,8.1,6.7,81.0,5.1
3925,20160920:0900,9.5,7.9,79.0,6.1
15752,20160921:0900,4.9,3.8,82.0,2.1
3925,20160921:0900,7.0,5.0,71.0,2.1
15752,20160922:0900,8.6,8.0,91.0,7.2
3925,20160922:0900,7.1,6.4,89.0,5.4
15752,20160923:0900,8.8,8.2,91.0,7.4
3925,20160923:0900,11.9,9.7,74.0,7.4
15752,20160924:0900,8.6,8.3,96.0,8.0
3925,20160924:0900,9.4,8.9,93.0,8.3
15752,20160925:0800,7.9,6.8,85.0,5.5
3925,20160925:0800,10.0,9.7,96.0,9.4
15752,20160926:0800,9.0,8.5,93.0,7.9
3925,20160926:0800,8.9,8.7,97.0,8.5
15752,20160927:0800,10.0,9.6,94.0,9.1
3925,20160927:0800,10.3,10.1,97.0,9.8
