Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
3925,20170108:1400,15.4,12.5,69.0,9.8
15752,20170108:1500,15.6,12.2,65.0,9.1
3925,20170108:1500,14.5,11.7,70.0,9.1
15752,20170108:1600,14.6,12.1,73.0,9.8
3925,20170108:1600,15.1,12.1,68.0,9.3
15752,20170108:1700,14.4,11.5,68.0,8.6
3925,20170108:1700,15.0,12.0,68.0,9.2
15752,20170108:1800,14.0,11.0,67.0,8.0
3925,20170108:1800,16.3,12.5,62.0,9.0
15752,20170108:1900,14.2,10.9,64.0,7.5
3925,20170108:1900,14.8,11.5,65.0,8.3
15752,20170108:2000,10.6,9.8,90.0,9.0
3925,20170108:2000,13.6,11.1,72.0,8.7
15752,20170108:2100,10.3,9.5,90.0,8.7
3925,20170108:2100,12.8,11.0,79.0,9.3
15752,20170108:2200,10.8,9.4,82.0,7.9
3925,20170108:2200,12.2,11.0,85.0,9.8
15752,20170108:2300,10.6,8.5,73.0,6.0
3925,20170108:2300,11.9,10.8,87.0,9.8
15752,20170109:0000,10.5,8.6,76.0,6.5
3925,20170109:0000,11.8,10.8,88.0,9.9
15752,20170109:0100,9.9,7.7,72.0,5.1
3925,20170109:0100,11.6,11.0,92.0,10.4
15752,20170109:0200,9.7,7.7,74.0,5.3
3925,20170109:0200,11.6,11.0,92.0,10.4
15752,20170109:0300,9.8,7.7,73.0,5.2
3925,20170109:0300,11.7,11.1,93.0,10.6
15752,20170109:0400,9.6,7.8,76.0,5.6
3925,20170109:0400,11.6,11.0,93.0,10.5
15752,20170109:0500,9.6,7.8,76.0,5.6
3925,20170109:0500,11.7,11.1,93.0,10.6
15752,20170109:0600,9.8,8.0,77.0,6.0
3925,20170109:0600,12.0,11.4,93.0,10.9
15752,20170109:0700,10.4,8.3,73.0,5.8
3925,20170109:0700,12.9,12.2,92.0,11.6
15752,20170109:0800,11.2,8.7,69.0,5.7
3925,20170109:0800,14.4,13.1,85.0,11.9
15752,20170109:0900,12.1,9.3,67.0,6.2
3925,20170109:0900,15.9,14.2,82.0,12.8
15752,20170109:1000,12.7,9.7,65.0,6.3
3925,20170109:1000,15.9,14.5,85.0,13.4
15752,20170109:1100,13.2,9.9,63.0,6.3
3925,20170109:1100,16.2,14.6,83.0,13.3
15752,20170109:1200,14.3,10.8,62.0,7.1
3925,20170109:1200,17.6,15.6,80.0,14.1
15752,20170109:1300,14.4,11.1,64.0,7.7
3925,20170109:1300,18.9,15.6,69.0,13.1
15752,20170109:1400,13.4,10.7,70.0,8.1
3925,20170109:1400,17.2,16.1,89.0,15.4
15752,20170109:1500,13.0,10.7,73.0,8.3
3925,20170109:1500,18.2,16.4,82.0,15.1
15752,20170109:1600,12.6,11.1,82.0,9.6
3925,20170109:1600,17.5,15.5,80.0,14.0
15752,20170109:1700,12.8,11.4,84.0,10.2
3925,20170109:1700,17.2,15.5,83.0,14.3
15752,20170109:1800,12.8,11.4,84.0,10.2
3925,20170109:1800,15.6,14.9,92.0,14.3
15752,20170109:1900,13.0,11.6,84.0,10.4
3925,20170109:1900,15.7,15.2,94.0,14.7
15752,20170109:2000,13.4,12.0,84.0,10.8
3925,20170109:2000,15.7,15.1,93.0,14.6
15752,20170109:2100,13.6,12.3,85.0,11.1
3925,20170109:2100,16.1,15.4,92.0,14.8
15752,20170109:2200,14.3,13.1,86.0,12.0
3925,20170109:2200,15.6,15.1,95.0,14.8
15752,20170109:2300,15.1,12.8,75.0,10.7
3925,20170109:2300,15.2,14.8,95.0,14.4
15752,20170110:0000,14.5,12.3,76.0,10.3
3925,20170110:0000,14.8,14.5,96.0,14.2
15752,20170110:0100,14.6,12.4,76.0,10.4
3925,20170110:0100,14.4,14.1,96.0,13.8
15752,20170110:0200,14.7,12.6,77.0,10.7
3925,20170110:0200,14.1,13.8,97.0,13.6
15752,20170110:0300,14.0,12.0,78.0,10.2
3925,20170110:0300,14.3,14.0,97.0,13.8
15752,20170110:0400,13.8,11.7,76.0,9.7
3925,20170110:0400,14.4,14.1,96.0,13.8
15752,20170110:0500,13.6,11.4,75.0,9.3
3925,20170110:0500,14.5,14.2,96.0,13.9
15752,20170110:0600,13.3,11.0,74.0,8.8
3925,20170110:0600,14.4,14.0,95.0,13.6
15752,20170110:0700,13.5,11.0,72.0,8.6
3925,20170110:0700,15.0,14.4,93.0,13.9
15752,20170110:0800,14.0,11.5,72.0,9.1
3925,20170110:0800,16.2,14.3,80.0,12.8
15752,20170110:0900,14.8,12.1,71.0,9.6
3925,20170110:0900,17.9,15.5,76.0,13.6
15752,20170110:1000,16.9,13.8,69.0,11.2
3925,20170110:1000,19.5,15.8,66.0,13.0
